country,year,secondary_school_enrollment_rates,youth_unemployment_rates,education_spending_gdp,decade,efficiency_ratio,schooling_segment,unemployment_segment,education_effort_segment,unemployment_variation
"Egypt, Arab Rep.",2000,77.83,59.03,4.67,2000s,12.64,Medium,Critical,Medium,
"Egypt, Arab Rep.",2000,77.83,36.94,4.67,2000s,7.91,Medium,Critical,Medium,-22.09
"Egypt, Arab Rep.",2000,77.83,8.98,4.67,2000s,1.92,Medium,Low,Medium,-27.96
"Egypt, Arab Rep.",2000,77.83,5.08,4.67,2000s,1.09,Medium,Low,Medium,-3.9
"Egypt, Arab Rep.",2000,77.83,22.84,4.67,2000s,4.89,Medium,Moderate,Medium,17.76
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,185.34
"Egypt, Arab Rep.",2000,77.83,21.93,4.67,2000s,4.7,Medium,Moderate,Medium,-186.25
"Egypt, Arab Rep.",2000,77.83,4.4,4.67,2000s,0.94,Medium,Low,Medium,-17.53
"Egypt, Arab Rep.",2000,77.83,4.0,4.67,2000s,0.86,Medium,Low,Medium,-0.4
"Egypt, Arab Rep.",2000,77.83,2.7,4.67,2000s,0.58,Medium,Low,Medium,-1.3
"Egypt, Arab Rep.",2000,77.83,2.9,4.67,2000s,0.62,Medium,Low,Medium,0.2
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,205.28
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,0.0
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,0.0
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,0.0
"Egypt, Arab Rep.",2000,77.83,39.83,4.67,2000s,8.53,Medium,Critical,Medium,-168.35
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,168.35
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,0.0
"Egypt, Arab Rep.",2000,77.83,93.33,4.67,2000s,19.99,Medium,Critical,Medium,-114.85
"Egypt, Arab Rep.",2000,77.83,91.31,4.67,2000s,19.55,Medium,Critical,Medium,-2.02
"Egypt, Arab Rep.",2000,77.83,95.61,4.67,2000s,20.47,Medium,Critical,Medium,4.3
"Egypt, Arab Rep.",2000,77.83,80.28,4.67,2000s,17.19,Medium,Critical,Medium,-15.33
"Egypt, Arab Rep.",2000,77.83,75.25,4.67,2000s,16.11,Medium,Critical,Medium,-5.03
"Egypt, Arab Rep.",2000,77.83,77.83,4.67,2000s,16.67,Medium,Critical,Medium,2.58
"Egypt, Arab Rep.",2000,77.83,12.8,4.67,2000s,2.74,Medium,Low,Medium,-65.03
"Egypt, Arab Rep.",2000,77.83,16.95,4.67,2000s,3.63,Medium,Moderate,Medium,4.15
"Egypt, Arab Rep.",2000,77.83,21.73,4.67,2000s,4.65,Medium,Moderate,Medium,4.78
"Egypt, Arab Rep.",2000,77.83,47.05,4.67,2000s,10.07,Medium,Critical,Medium,25.32
"Egypt, Arab Rep.",2000,77.83,208.18,4.67,2000s,44.58,Medium,,Medium,161.13
